type,start,end,duration
RETRIEVE,1557544,1628582,71038
RETRIEVE,815108,903376,88268
RETRIEVE,3151573,3211091,59518
ADD,1012345,1257094,244749
DELETE,2194170,2752002,557832
DELETE,2049450,2594756,545306
ADD,3569967,4092724,522757
ADD,2178172,2720495,542323
RETRIEVE,957618,1055074,97456
RETRIEVE,1426551,1537753,111202
RETRIEVE,3423714,3515636,91922
RETRIEVE,4054014,4164866,110852
RETRIEVE,3194299,3285427,91128
RETRIEVE,3544894,3654402,109508
ADD,4592261,4719518,127257
ADD,656856,961277,304421
ADD,2472067,2866048,393981
DELETE,2176751,2380412,203661
DELETE,963467,1346228,382761
DELETE,3326982,3487350,160368
RETRIEVE,523972,659432,135460
ADD,1852696,2116752,264056
DELETE,4062288,4554694,492406
DELETE,986829,1597070,610241
ADD,2033379,2518179,484800
ADD,3222510,3595636,373126
DELETE,3785459,4070601,285142
ADD,3674059,4278343,604284
ADD,807396,1295402,488006
RETRIEVE,2915029,2974099,59070
RETRIEVE,1972704,2085504,112800
RETRIEVE,2528691,2612219,83528
ADD,855768,1271168,415400
ADD,3984232,4198130,213898
RETRIEVE,1083468,1168182,84714
RETRIEVE,3983284,4048240,64956
ADD,729694,1157582,427888
DELETE,2140994,2428943,287949
DELETE,2639916,3138326,498410
DELETE,531608,965574,433966
DELETE,612426,1010835,398409
ADD,1537509,1866342,328833
DELETE,726028,1136184,410156
DELETE,4152856,4442611,289755
DELETE,3913967,4456448,542481
RETRIEVE,2778770,2882004,103234
ADD,1983810,2500239,516429
ADD,3144877,3302095,157218
RETRIEVE,2991418,3059736,68318
DELETE,3716356,4122214,405858
ADD,4371455,4695248,323793
ADD,328661,768603,439942
RETRIEVE,4338846,4470564,131718
ADD,2734114,3265051,530937
ADD,4409581,4668337,258756
ADD,1847911,2270704,422793
RETRIEVE,2155379,2286203,130824
RETRIEVE,3098653,3241051,142398
RETRIEVE,1184335,1248815,64480
ADD,2137258,2402750,265492
RETRIEVE,3085239,3182273,97034
RETRIEVE,1234315,1336203,101888
ADD,1290342,1906253,615911
