type,start,end,duration
ADD,4051597,4663181,611584
DELETE,1937249,2361960,424711
DELETE,1481414,1771475,290061
RETRIEVE,2077467,2167861,90394
RETRIEVE,2353707,2433641,79934
ADD,947266,1360683,413417
RETRIEVE,26046,129018,102972
RETRIEVE,2332146,2427460,95314
RETRIEVE,2014863,2157557,142694
RETRIEVE,3742657,3815801,73144
RETRIEVE,222510,302948,80438
RETRIEVE,4280987,4343317,62330
RETRIEVE,892509,980187,87678
RETRIEVE,3071912,3134946,63034
RETRIEVE,4558259,4690015,131756
RETRIEVE,2306506,2390698,84192
ADD,4125953,4597329,471376
DELETE,248459,738957,490498
RETRIEVE,2193572,2310458,116886
ADD,1978846,2582917,604071
DELETE,957618,1407241,449623
RETRIEVE,1669212,1741958,72746
RETRIEVE,1216080,1319546,103466
RETRIEVE,2994409,3109333,114924
RETRIEVE,2871200,2957264,86064
ADD,3698880,4099976,401096
RETRIEVE,2630485,2717763,87278
ADD,1913967,2431591,517624
RETRIEVE,3521008,3628438,107430
RETRIEVE,4546593,4673797,127204
RETRIEVE,3902750,3998258,95508
ADD,3091070,3700236,609166
RETRIEVE,4571501,4658515,87014
RETRIEVE,1673610,1729522,55912
RETRIEVE,182425,262019,79594
DELETE,2392900,2664256,271356
DELETE,4197135,4613146,416011
RETRIEVE,1222024,1301764,79740
RETRIEVE,2484488,2600700,116212
ADD,3770697,4128333,357636
RETRIEVE,2092225,2150775,58550
ADD,3581104,4101693,520589
ADD,4528691,4819512,290821
DELETE,1696796,2206879,510083
ADD,302822,615155,312333
RETRIEVE,324152,379762,55610
DELETE,3866957,4334729,467772
ADD,2867824,3211248,343424
DELETE,2151893,2524880,372987
RETRIEVE,1560340,1633268,72928
DELETE,4115351,4670190,554839
ADD,1874783,2247335,372552
DELETE,3509371,3868147,358776
RETRIEVE,521008,658700,137692
ADD,3493852,3675473,181621
DELETE,1505569,1891443,385874
DELETE,3041964,3451425,409461
RETRIEVE,4663709,4785435,121726
DELETE,1442729,1895187,452458
ADD,1770387,2157827,387440
DELETE,650880,1078176,427296
RETRIEVE,946010,995974,49964
RETRIEVE,3991418,4066930,75512
DELETE,676621,1065080,388459
DELETE,1095066,1454416,359350
RETRIEVE,4202433,4284333,81900
ADD,363551,884232,520681
RETRIEVE,3419781,3502571,82790
RETRIEVE,1834916,1940250,105334
ADD,2362585,2629707,267122
DELETE,4321705,4782204,460499
RETRIEVE,2835347,2940911,105564
RETRIEVE,2004403,2115333,110930
RETRIEVE,2330227,2435607,105380
RETRIEVE,3302822,3395030,92208
ADD,2668387,2722473,54086
RETRIEVE,3337065,3379223,42158
RETRIEVE,4599925,4671029,71104
DELETE,1558310,1937375,379065
DELETE,1633008,1873115,240107
RETRIEVE,3152247,3206275,54028
RETRIEVE,3893021,3972019,78998
DELETE,2442729,2777213,334484
DELETE,1014179,1427930,413751
ADD,3526505,3923849,397344
RETRIEVE,4387178,4501140,113962
RETRIEVE,3489436,3580572,91136
ADD,3571196,4175758,604562
ADD,1073663,1188246,114583
ADD,1433245,2090401,657156
DELETE,3048947,3471166,422219
RETRIEVE,3426722,3505766,79044
ADD,4055030,4483233,428203
RETRIEVE,3472067,3613597,141530
ADD,3201761,3705850,504089
DELETE,3546780,4138168,591388
RETRIEVE,657545,767449,109904
ADD,966538,1718636,752098
DELETE,1855776,2268109,412333
RETRIEVE,3151573,3226587,75014
RETRIEVE,2035467,2146305,110838
